,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA,WMA,MOM,SlowK,SlowD,MACD,MACD_Hist,MACD_Signal,ADOSC,CCI
127,2020-03-10,131.886002,133.600006,121.599998,129.065994,129.065994,77972000,43.5405,759.8200,716.2293,-213.0700,22.2139,27.4424,-1.5364,-28.1197,26.5833,-3346599.3978,-104.1823
128,2020-03-11,128.03999299999998,130.716003,122.599998,126.846001,126.846001,66612500,42.5866,740.9407,700.5306,-283.1900,21.4906,24.4665,-7.7865,-27.4959,19.7094,-2891208.9024,-101.5576
129,2020-03-12,116.178001,118.900002,109.25,112.110001,112.110001,94545500,36.8456,718.3500,677.9818,-338.8600,15.1932,19.8299,-18.4723,-30.5453,12.0730,-4892331.5809,-145.1836
130,2020-03-13,119.0,121.514,100.400002,109.32399699999999,109.32399699999999,113201500,35.8661,694.7247,656.5155,-354.3800,21.0364,20.4331,-27.7450,-31.8544,4.1094,-6380518.0034,-141.7024
131,2020-03-16,93.900002,98.97399899999999,88.433998,89.014,89.014,102447500,29.6998,668.8100,625.3087,-388.7200,11.1603,15.7967,-42.7946,-37.5232,-5.2714,-12211157.1897,-184.9278
132,2020-03-17,88.001999,94.370003,79.199997,86.040001,86.040001,119973000,28.9197,644.1627,595.4824,-369.7100,12.2188,14.0078,-55.2842,-40.0102,-15.2739,-14236189.6610,-173.3164
133,2020-03-18,77.800003,80.972,70.101997,72.244003,72.244003,118931000,25.5804,616.3240,560.1146,-417.5800,8.1926,11.1002,-69.9421,-43.7345,-26.2076,-18355975.3758,-173.4946
134,2020-03-19,74.940002,90.400002,71.692001,85.528,85.528,150977500,33.5020,599.5667,536.5291,-251.3600,19.0986,15.0994,-75.3307,-39.2985,-36.0322,-13769075.6336,-116.5414
135,2020-03-20,87.639999,95.400002,85.157997,85.505997,85.505997,141427500,33.4957,583.5360,515.0245,-240.4600,36.2257,25.6625,-78.7028,-34.1365,-44.5663,-19029219.6542,-82.7413
136,2020-03-23,86.720001,88.400002,82.099998,86.858002,86.858002,82272500,34.3125,562.9140,496.3688,-309.3300,51.2301,38.4463,-79.9086,-28.2739,-51.6348,-16778557.9970,-79.7133
137,2020-03-24,95.459999,102.737999,94.800003,101.0,101.0,114476000,42.2599,546.8800,489.1295,-240.5100,72.9523,55.6993,-74.3021,-18.1338,-56.1682,-10237656.7300,-32.5047
138,2020-03-25,109.050003,111.400002,102.222,107.849998,107.849998,106113500,45.6712,532.8633,488.1758,-210.2500,82.0060,68.8527,-66.3305,-8.1298,-58.2007,-5102257.1203,0.3122
139,2020-03-26,109.477997,112.0,102.449997,105.63200400000001,105.63200400000001,86903500,44.7539,519.7713,487.5878,-196.3800,80.3542,74.6034,-60.2137,-1.6104,-58.6033,-4382522.0605,9.2021
140,2020-03-27,101.0,105.160004,98.806,102.872002,102.872002,71887000,43.5867,507.1633,486.9114,-189.1200,74.9129,74.7582,-55.8361,2.2138,-58.0498,-2409584.6133,1.5071
141,2020-03-30,102.052002,103.33000200000001,98.246002,100.42600300000001,100.42600300000001,59990500,42.5335,500.1053,486.2823,-105.8700,53.8111,64.2846,-52.7456,4.2434,-56.9890,-1927072.5310,1.7710
142,2020-03-31,100.25,108.592003,99.400002,104.800003,104.800003,88857500,45.0764,492.0167,489.2691,-121.3300,50.7313,57.5080,-47.9785,7.2084,-55.1869,-565312.4780,33.4663
143,2020-04-01,100.800003,102.790001,95.019997,96.311996,96.311996,66766000,41.2786,481.8387,487.9620,-152.6700,29.1701,43.3391,-47.0824,6.4836,-53.5660,-2792614.6307,8.4773
144,2020-04-02,96.206001,98.851997,89.279999,90.893997,90.893997,99292000,39.0297,474.7667,484.5409,-106.0800,18.7638,31.0514,-48.0049,4.4489,-52.4538,-7637653.3733,-18.9337
145,2020-04-03,101.900002,103.098,93.678001,96.001999,96.001999,112810500,42.2100,470.3260,485.1963,-66.6100,26.7856,28.9185,-46.1431,5.0485,-51.1916,-12562056.8834,25.0707
146,2020-04-06,102.239998,104.199997,99.592003,103.248001,103.248001,74509000,46.4551,475.0707,490.9356,71.1700,49.5568,39.2377,-41.2685,7.9385,-49.2070,-10652252.5484,57.8987
147,2020-04-07,109.0,113.0,106.468002,109.089996,109.089996,89599000,49.6500,482.7540,499.7330,115.2500,66.5364,52.8871,-34.6489,11.6465,-46.2954,-10026871.9902,106.1982
148,2020-04-08,110.839996,111.442001,106.666,109.76799799999999,109.76799799999999,63280000,50.0208,495.2620,507.9938,187.6200,76.4554,64.6712,-28.7973,13.9985,-42.7958,-7655475.0894,102.7674
149,2020-04-09,112.417999,115.03600300000001,111.42199699999999,114.599998,114.599998,68250000,52.6818,504.9527,517.7110,145.3600,87.2070,75.9391,-21.9572,16.6708,-38.6281,-2694163.9063,137.2590
150,2020-04-13,118.031998,130.399994,116.106003,130.190002,130.190002,112377000,60.0371,519.8473,535.9607,223.4200,93.2627,84.6009,-10.1298,22.7986,-32.9284,6521525.7455,217.3252
151,2020-04-14,139.794006,148.37600700000002,138.48599199999998,141.977997,141.977997,152882500,64.5068,538.2207,559.7160,275.6000,88.9980,86.7994,3.9539,29.5059,-25.5519,6840054.9929,279.1349
152,2020-04-15,148.399994,150.62600700000002,142.0,145.966003,145.966003,117885000,65.8896,553.2093,583.6672,224.8300,89.1987,87.9991,16.5338,33.6686,-17.1348,5744988.3069,207.0379
153,2020-04-16,143.388,151.889999,141.34399399999998,149.042007,149.042007,103289500,66.9537,566.9400,607.6673,205.9600,91.0805,89.5398,27.4283,35.6505,-8.2222,7797577.1910,156.0834
154,2020-04-17,154.455994,154.990005,149.531998,150.778,150.778,65641000,67.5655,581.9887,631.0360,225.7300,90.1242,89.8320,36.3437,35.6527,0.6910,5658442.2278,133.9446
155,2020-04-20,146.53999299999998,153.113998,142.442001,149.272003,149.272003,73733000,66.4225,597.4553,651.5824,232.0000,77.7390,83.7855,42.3139,33.2983,9.0156,5582655.3758,99.0240
156,2020-04-21,146.024002,150.666,134.757996,137.34399399999998,137.34399399999998,101045500,58.0843,609.7613,662.7405,184.5900,45.2604,64.5229,41.7515,26.1888,15.5628,704542.0142,63.4350
157,2020-04-22,140.796005,146.800003,137.742004,146.421997,146.421997,71124000,61.9765,623.6353,678.0341,208.1100,51.4558,57.9894,44.4560,23.1146,21.3414,2793217.9542,63.5393
